Volatility 3 Framework 2.10.0

PID	Process	Offset	HandleValue	Type	GrantedAccess	Name
4	System	0xe786068ebd70	0x74	Key	0x2001f	MACHINE\SYSTEM\SETUP
4	System	0xe786068e6630	0x78	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001
4	System	0x830563f55d80	0x7c	ALPC Port	0x1f0001	PowerMonitorPort
4	System	0xe786068ec5f0	0x80	Key	0x11	MACHINE\SYSTEM\CONTROLSET001\CONTROL\POWER
4	System	0x830563e83280	0x84	ALPC Port	0x1f0001	PowerPort
4	System	0xe786068e6ae0	0x88	Key	0xf003f	USER
4	System	0xe7860691a710	0x8c	Key	0xf003f	MACHINE\SYSTEM\DRIVERDATABASE
4	System	0xe786068e6cc0	0x90	Key	0xf003f	MACHINE\SYSTEM
4	System	0x830563e91750	0x94	Event	0x1f0003	
4	System	0xe7860691ae80	0x98	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\ENUM
4	System	0xe7860691a4f0	0x9c	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\DEVICECLASSES
4	System	0xe786069cfdc0	0xa0	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\DEVICECLASSES
4	System	0xe7860691bc50	0xa4	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\DEVICECONTAINERS
4	System	0xe7860691b2c0	0xa8	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS
4	System	0xe7860691a2d0	0xac	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\DEVICEPANELS
4	System	0xe7860691a3e0	0xb0	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\SERVICES
4	System	0xe7860691bd60	0xb4	Key	0xf003f	MACHINE\SYSTEM\HARDWARECONFIG
4	System	0xe7860904a4c0	0xb8	SymbolicLink	0xf0001	ROOT#SYSTEM#0000#{3c0d501a-140b-11d1-b40f-00a0c9223196}
4	System	0xe786069cf550	0xbc	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\HARDWARE PROFILES
4	System	0xe7860904a8b0	0xc0	SymbolicLink	0xf0001	ROOT#SYSTEM#0000#{53172480-4791-11d0-a5d6-28db04c10000}
4	System	0xe7860691b810	0xc4	Key	0xf003f	MACHINE\SYSTEM\RNG
4	System	0xe7860691aa40	0xc8	Key	0x20019	MACHINE\SYSTEM\CONTROLSET001\CONTROL\WMI\SECURITY
4	System	0xe786069d0ae0	0xcc	Key	0x10	MACHINE\SYSTEM\CONTROLSET001\CONTROL\STORPORT
4	System	0xe78606973ad0	0xd0	Token	0xe	
4	System	0x830565597eb0	0xd4	File	0x12019f	\Device\Tcp
4	System	0xe786069c23d0	0xd8	SymbolicLink	0xf0001	ROOT#vdrvroot#0000#{2e34d650-5819-42ca-84ae-d30803bae505}
4	System	0xe786069f3e70	0xdc	Key	0xf003f	MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 0\SCSI BUS 0
4	System	0xe7860691b4e0	0xe0	Key	0xf003f	MACHINE\SYSTEM\HARDWARECONFIG\{827ED753-0921-490C-A466-8FCACBAE9608}\PRODUCTIDS
4	System	0xe786069c19b0	0xe4	SymbolicLink	0xf0001	ACPI#FixedButton#2&daba3ff&1#{4afa3d53-74a7-11d0-be5e-00a0c9062857}
4	System	0xe7860904a940	0xe8	SymbolicLink	0xf0001	ACPI#PNP0F03#4&e03a844&0#{378de44c-56ef-11d1-bc8c-00a0c91405dd}
4	System	0xe7860904a700	0xec	SymbolicLink	0xf0001	ROOT#SYSTEM#0000#{4747b320-62ce-11cf-a5d6-28db04c10000}
4	System	0xe7860904b2d0	0xf0	SymbolicLink	0xf0001	ACPI#AuthenticAMD_-_AMD64_Family_23_Model_104_-_AMD_Ryzen_5_5500U_with_Radeon_Graphics_________#_0#{97fadb10-4e33-40ae-359c-8bef029dbdd0}
4	System	0xe7860904b510	0xf4	SymbolicLink	0xf0001	PCI#VEN_8086&DEV_100E&SUBSYS_001E8086&REV_02#3&267a616a&1&18#{cac88484-7515-4c03-82e6-71a87abac361}
4	System	0xe7860904ac10	0xf8	SymbolicLink	0xf0001	PCI#VEN_8086&DEV_100E&SUBSYS_001E8086&REV_02#3&267a616a&1&18#{ad498944-762f-11d0-8dcb-00c04fc3358c}
4	System	0xe7860904b480	0x100	SymbolicLink	0xf0001	SCSI#CdRom&Ven_VBOX&Prod_CD-ROM#4&3554261f&0&010000#{53f5630d-b6bf-11d0-94f2-00a0c91efb8b}
4	System	0x830565c60c80	0x104	TmRm	0x12007f	
4	System	0x830565c2dbd0	0x114	File	0x1	\Device\HarddiskVolume1\$Extend\$RmMetadata\$Txf:$I30:$INDEX_ALLOCATION
4	System	0x8305659f8470	0x120	File	0x12019f	\Device\HarddiskVolume1\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000002
4	System	0xe7860691ac60	0x124	Key	0x10	MACHINE\SYSTEM\CONTROLSET001\SERVICES\DFSC\PARAMETERS
4	System	0x8305659c71e0	0x128	File	0x120116	\Device\Mup
4	System	0x8305659f8d10	0x12c	File	0x12019f	\Device\HarddiskVolume1\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000001
4	System	0xe7860904adc0	0x130	SymbolicLink	0xf0001	ROOT#CAD#0000#{ec0a1cc9-4294-43fb-bf37-b850ce95f337}
4	System	0x830565c93080	0x134	Process	0x1fffff	smss.exe Pid 348
4	System	0xe78606d25ea0	0x138	Directory	0xf000f	cimfs
4	System	0xe786069f2600	0x13c	Key	0x2001f	MACHINE\SYSTEM\CONTROLSET001\SERVICES\VWIFIFLT\STATE\PARAMETERS\VWIFISETTINGS
4	System	0xe7860904a790	0x140	SymbolicLink	0xf0001	ACPI#AuthenticAMD_-_AMD64_Family_23_Model_104_-_AMD_Ryzen_5_5500U_with_Radeon_Graphics_________#_1#{97fadb10-4e33-40ae-359c-8bef029dbdd0}
4	System	0xe78606cf34f0	0x144	Key	0x20019	MACHINE\SYSTEM\CONTROLSET001\CONTROL\HVSI
4	System	0xe7860904b360	0x148	SymbolicLink	0xf0001	ACPI#AuthenticAMD_-_AMD64_Family_23_Model_104_-_AMD_Ryzen_5_5500U_with_Radeon_Graphics_________#_0#{dbe4373d-3c81-40cb-ace4-e0e5d05f0c9f}
4	System	0xe7860904aca0	0x14c	SymbolicLink	0xf0001	ROOT#UMBUS#0000#{65a9a6cf-64cd-480b-843e-32c86e1ba19f}
4	System	0xe78609025be0	0x150	Key	0x20019	MACHINE\SYSTEM\CONTROLSET001\CONTROL\POWER
4	System	0xe7860904ad30	0x154	SymbolicLink	0xf0001	ACPI#PNP0C0A#0#{e849804e-c719-43d8-ac88-96b894c191e2}
4	System	0xe7860691b700	0x158	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\{7746D80F-97E0-4E26-9543-26B41FC22F79}\{59AEE675-B203-4D61-9A1F-04518A20F359}
4	System	0x830565c45070	0x15c	ALPC Port	0x1f0001	SeRmCommandPort
4	System	0xe786069c28e0	0x160	SymbolicLink	0xf0001	PCI#VEN_8086&DEV_2829&SUBSYS_00000000&REV_02#3&267a616a&1&68#{2accfe60-c130-11d2-b082-00a0c91efb8b}
4	System	0x8305654d7d00	0x164	ALPC Port	0x1f0001	PdcPort
4	System	0xe78606cdbe80	0x168	Key	0x8	MACHINE\SYSTEM\CONTROLSET001\CONTROL\POWER\PROFILE\EVENTS\{54533251-82BE-4824-96C1-47B60B740D00}\{0AABB002-A307-447E-9B81-1D819DF6C6D0}\{CE74AA52-A71A-4036-BEEF-B6C411010E28}
4	System	0xe78606cdb3e0	0x16c	Key	0x8	MACHINE\SYSTEM\CONTROLSET001\CONTROL\POWER\PROFILE\EVENTS\{54533251-82BE-4824-96C1-47B60B740D00}\{0DA965DC-8FCF-4C0B-8EFE-8DD5E7BC959A}\{7E01ADEF-81E6-4E1B-8075-56F373584694}
4	System	0xe786069c2970	0x170	SymbolicLink	0xf0001	ROOT#spaceport#0000#{53f5630e-b6bf-11d0-94f2-00a0c91efb8b}
4	System	0xe78606cdcc50	0x174	Key	0x8	MACHINE\SYSTEM\CONTROLSET001\CONTROL\POWER\PROFILE\EVENTS\{54533251-82BE-4824-96C1-47B60B740D00}\{D4140C81-EBBA-4E60-8561-6918290359CD}\{35037BB4-9528-481D-8CB2-8FCC63A9DD81}
4	System	0xe78606cdcb40	0x178	Key	0x8	MACHINE\SYSTEM\CONTROLSET001\CONTROL\POWER\PROFILE\EVENTS\{54533251-82BE-4824-96C1-47B60B740D00}\{8BC6262C-C026-411D-AE3B-7E2F70811A13}\{C072EEBB-1955-4FA9-B4BA-421E96E1D674}
4	System	0xe78606cdb710	0x17c	Key	0x8	MACHINE\SYSTEM\CONTROLSET001\CONTROL\POWER\PROFILE\EVENTS\{54533251-82BE-4824-96C1-47B60B740D00}\{EE1E4F72-E368-46B1-B3C6-5048B11C2DBD}\{9C1F0DBA-33E9-43AF-9EDA-A607AA5139DA}
4	System	0x830565554480	0x180	Thread	0x1fffff	Tid 244 Pid 4
4	System	0xe786069c26a0	0x184	SymbolicLink	0xf0001	ROOT#spaceport#0000#{ef66a56f-88d1-4cd8-98c4-49faf57ad8af}
4	System	0xe78606cdb930	0x188	Key	0xf003f	MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 0\SCSI BUS 1
4	System	0xe7860904b120	0x18c	SymbolicLink	0xf0001	ROOT#SYSTEM#0000#{97ebaacb-95bd-11d0-a3ea-00a0c9223196}
4	System	0xe786069c2a00	0x190	SymbolicLink	0xf0001	ROOT#volmgr#0000#{53f5630e-b6bf-11d0-94f2-00a0c91efb8b}
4	System	0xe78606cdc700	0x194	Key	0xb	MACHINE\SYSTEM\CONTROLSET001\SERVICES\NDIS\IFTYPES\71
4	System	0xe78606cdc5f0	0x198	Key	0xb	MACHINE\SYSTEM\CONTROLSET001\SERVICES\NDIS\IFTYPES\24
4	System	0xe786069f22d0	0x19c	Key	0x10	MACHINE\SYSTEM\CONTROLSET001\CONTROL\NETWORKPROVIDER\PROVIDERORDER
4	System	0xe7860904aaf0	0x1a0	SymbolicLink	0xf0001	ROOT#SYSTEM#0000#{0a4252a0-7e70-11d0-a5d6-28db04c10000}
4	System	0xe78606cdc4e0	0x1a4	Key	0x10	MACHINE\SYSTEM\CONTROLSET001\CONTROL\FILESYSTEM
4	System	0x8305655866d0	0x1a8	TmTm	0xf003f	
4	System	0x830565585c40	0x1ac	TmRm	0x1f007f	
4	System	0x830565586af0	0x1b0	TmRm	0x1f007f	
4	System	0x8305654f0a50	0x1b4	FilterConnectionPort	0x1f0001	MicrosoftMalwareProtectionControlPortWD
4	System	0x8305654f0bb0	0x1b8	FilterConnectionPort	0x1f0001	MicrosoftMalwareProtectionPortWD
4	System	0x8305654f1810	0x1bc	FilterConnectionPort	0x1f0001	MicrosoftMalwareProtectionVeryLowIoPortWD
4	System	0x8305654f1e40	0x1c0	FilterConnectionPort	0x1f0001	MicrosoftMalwareProtectionRemoteIoPortWD
4	System	0x8305654f1760	0x1c4	FilterConnectionPort	0x1f0001	MicrosoftMalwareProtectionAsyncPortWD
4	System	0x8305654f1d90	0x1c8	FilterConnectionPort	0x1f0001	MicrosoftDataLossPreventionControlPort
4	System	0x8305654f16b0	0x1cc	FilterConnectionPort	0x1f0001	MicrosoftDataLossPreventionPort
4	System	0x8305654f1a20	0x1d0	FilterConnectionPort	0x1f0001	MicrosoftDataLossPreventionVeryLowIoPort
4	System	0x8305654f1ce0	0x1d4	FilterConnectionPort	0x1f0001	MicrosoftDataLossPreventionRemoteIoPort
4	System	0x8305654f1ad0	0x1d8	FilterConnectionPort	0x1f0001	MicrosoftDataLossPreventionAsyncPort
4	System	0xe786069cf280	0x1dc	Key	0x10	MACHINE\SYSTEM\CONTROLSET001\CONTROL\FILESYSTEM
4	System	0xe78606cdbb50	0x1e0	Key	0x10	MACHINE\SYSTEM\CONTROLSET001\POLICIES
4	System	0x830563e97080	0x1e4	Process	0x1440	System Pid 4
4	System	0xe78606803750	0x1e8	Token	0xf01ff	
4	System	0xe786069d0db0	0x1ec	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\SERVICES\IORATE
4	System	0xe78606cdc810	0x1f0	Key	0x10	MACHINE\SYSTEM\CONTROLSET001\CONTROL\NETWORKPROVIDER\ORDER
4	System	0xe786069d0090	0x1f4	Key	0x20019	MACHINE\SYSTEM\CONTROLSET001\SERVICES\MUP
4	System	0x830565bde040	0x1f8	TmTm	0xf003f	
4	System	0x830565bde460	0x1fc	TmRm	0x1f007f	
4	System	0x830565bf4a80	0x200	File	0x12019f	\Device\HarddiskVolume2\$Extend\$RmMetadata\$TxfLog\$TxfLog.blf
4	System	0xe786068e8260	0x204	Directory	0xf000f	Harddisk0
4	System	0xe78606cdb0b0	0x20c	Key	0x20019	MACHINE\SYSTEM\CONTROLSET001\CONTROL\POWER\ENERGYESTIMATION\STORAGE\HDD\IDLESTATE
4	System	0xe78606ceedf0	0x210	SymbolicLink	0xf0001	STORAGE#Volume#{5bcda864-7073-11ef-be78-806e6f6e6963}#0000000C5EC00000#{53f5630d-b6bf-11d0-94f2-00a0c91efb8b}
4	System	0xe78606cee970	0x214	SymbolicLink	0xf0001	SCSI#Disk&Ven_VBOX&Prod_HARDDISK#4&3554261f&0&000000#{53f56307-b6bf-11d0-94f2-00a0c91efb8b}
4	System	0xe78606cee610	0x218	SymbolicLink	0xf0001	STORAGE#Volume#{5bcda864-7073-11ef-be78-806e6f6e6963}#0000000003300000#{53f5630d-b6bf-11d0-94f2-00a0c91efb8b}
4	System	0xe78606ceea90	0x21c	SymbolicLink	0xf0001	STORAGE#Volume#{5bcda864-7073-11ef-be78-806e6f6e6963}#0000000000100000#{53f5630d-b6bf-11d0-94f2-00a0c91efb8b}
4	System	0x8305658d3040	0x220	Thread	0x1fffff	Tid 284 Pid 4
4	System	0x8305658a4080	0x224	Thread	0x1fffff	Tid 288 Pid 4
4	System	0x830565946bf0	0x228	File	0x12019f	\Device\HarddiskVolume2\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000002
4	System	0xe786069cfaf0	0x22c	Key	0x10	MACHINE\SYSTEM\CONTROLSET001\CONTROL\SESSION MANAGER\MEMORY MANAGEMENT
4	System	0x830565945660	0x230	File	0x12019f	\Device\HarddiskVolume2\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000001
4	System	0x830565bf3384	0x234	Process	0x13019f	 Pid 221143571071749
4	System	0x8305659454f0	0x23c	File	0x1	\Device\HarddiskVolume2\$Extend\$RmMetadata\$Txf:$I30:$INDEX_ALLOCATION
4	System	0x8305659464c4	0x240	ActivationObject	0x12019f	
4	System	0xe78606cf3820	0x24c	Key	0xf003f	MACHINE\SOFTWARE\MICROSOFT\WINDOWS NT\CURRENTVERSION\NOTIFICATIONS
4	System	0xe7860904a820	0x250	SymbolicLink	0xf0001	ROOT#SYSTEM#0000#{ffbb6e3f-ccfe-4d84-90d9-421418b03a8e}
4	System	0x830565cc6700	0x254	File	0x12019f	\Device\HarddiskVolume2\Windows\System32\config\TxR\{53b39e3e-18c4-11ea-a811-000d3aa4692b}.TM.blf
4	System	0x830565c40bc0	0x25c	TmRm	0x1f007f	
4	System	0xe7860904b3f0	0x260	SymbolicLink	0xf0001	ACPI#PNP0C0A#0#{72631e54-78a4-11d0-bcf7-00aa00b7b32a}
4	System	0xe78606cdbd70	0x264	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\{7746D80F-97E0-4E26-9543-26B41FC22F79}\{D73E01AC-F5A0-4D80-928B-33C1920C38BA}
4	System	0xe78606efadc0	0x268	Section	0x6	
4	System	0x8305659f8190	0x26c	File	0x12019f	\Device\HarddiskVolume1\$Extend\$RmMetadata\$TxfLog\$TxfLog.blf
4	System	0xe786069f20b0	0x270	Key	0x10	MACHINE\SYSTEM\CONTROLSET001\CONTROL\LSA
4	System	0x8305659c6660	0x274	File	0x120116	\Device\Mup
4	System	0xe786069f2b50	0x278	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\{7746D80F-97E0-4E26-9543-26B41FC22F79}\{221601AB-48C7-4970-B0EC-96E66F578407}
4	System	0xe7860904aee0	0x27c	SymbolicLink	0xf0001	SCSI#CdRom&Ven_VBOX&Prod_CD-ROM#4&3554261f&0&010000#{53f56308-b6bf-11d0-94f2-00a0c91efb8b}
4	System	0xe78606cdc920	0x280	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\{7746D80F-97E0-4E26-9543-26B41FC22F79}\{A25AE4F2-1B96-4CED-8007-AA30E9B1A218}
4	System	0xe786069f2710	0x284	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\{7746D80F-97E0-4E26-9543-26B41FC22F79}\{FB9F5B62-B48B-45F5-8586-E514958C92E2}
4	System	0xe7860904b240	0x288	SymbolicLink	0xf0001	ACPI#PNP0303#4&e03a844&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
4	System	0xe7860904b5a0	0x28c	SymbolicLink	0xf0001	ROOT#SYSTEM#0000#{cf1dda2c-9743-11d0-a3ee-00a0c9223196}
4	System	0x830565c404f0	0x290	TmTm	0xf003f	
4	System	0x8305695720c0	0x298	File	0x12019f	\Device\HarddiskVolume2\Windows\bootstat.dat
4	System	0x830565c93080	0x29c	Process	0x102a	smss.exe Pid 348
4	System	0x830565be0a90	0x2a0	TmRm	0x12007f	
4	System	0xe786091fbc60	0x2a4	Key	0x11	MACHINE\SYSTEM\CONTROLSET001\CONTROL\KERNELVELOCITY
4	System	0x830565c93080	0x2ac	Process	0x102a	smss.exe Pid 348
4	System	0xe786069f31b0	0x2b0	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\SERVICES\BAM\STATE\USERSETTINGS
4	System	0x830565c48040	0x2b4	Thread	0x1fffff	Tid 336 Pid 4
4	System	0xe78606cf43d0	0x2b8	Key	0x10	MACHINE\SYSTEM\CONTROLSET001\SERVICES\SWENUM\NOTIFY
4	System	0xe78606ef3270	0x2bc	Key	0x10	MACHINE\SYSTEM\CONTROLSET001\CONTROL\FILESYSTEM
4	System	0xe7860904b630	0x2c0	SymbolicLink	0xf0001	ACPI#AuthenticAMD_-_AMD64_Family_23_Model_104_-_AMD_Ryzen_5_5500U_with_Radeon_Graphics_________#_1#{dbe4373d-3c81-40cb-ace4-e0e5d05f0c9f}
4	System	0xe78609025730	0x2c4	Key	0x20019	MACHINE\SYSTEM\CONTROLSET001\CONTROL
4	System	0x830565598ba0	0x2c8	File	0x12019f	\Device\00000015
4	System	0xe78609083e74	0x2d0	EtwSessionDemuxEntry	0xf003f	
4	System	0xe78609025af0	0x2d4	Key	0x20000	MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS\{4D36E97D-E325-11CE-BFC1-08002BE10318}\0011\SETTINGS
4	System	0xe7860904ba20	0x2d8	SymbolicLink	0xf0001	PCI#VEN_8086&DEV_1E31&SUBSYS_00000000&REV_00#3&267a616a&1&60#{3abf6f2d-71c4-462a-8a92-1e6861e6af27}
4	System	0x830565598e80	0x2dc	File	0x120089	\Device\HarddiskVolume2\Windows\System32\drivers\en-US\USBXHCI.SYS.mui
4	System	0xe786090835f0	0x2e0	Key	0x20000	MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS\{4D36E97D-E325-11CE-BFC1-08002BE10318}\0011
4	System	0xe78609025a00	0x2e4	Key	0x20000	MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS\{4D36E97D-E325-11CE-BFC1-08002BE10318}\0011
4	System	0xe7860904bea0	0x2e8	SymbolicLink	0xf0001	HDAUDIO#FUNC_01&VEN_8384&DEV_7680&SUBSYS_83847680&REV_1034#4&22a99211&0&0001#{a17579f0-4fec-4936-9364-249460863be5}
4	System	0xe78609083704	0x2ec	Thread	0xf003f	Tid 65455301591040 Pid 0
4	System	0xe78609082710	0x2f0	Key	0x20000	MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS\{4D36E97D-E325-11CE-BFC1-08002BE10318}\0011\SETTINGS
4	System	0xe7860904bd80	0x2f8	SymbolicLink	0xf0001	HDAUDIO#FUNC_01&VEN_8384&DEV_7680&SUBSYS_83847680&REV_1034#4&22a99211&0&0001#{86841137-ed8e-4d97-9975-f2ed56b4430e}
4	System	0xe786091134b0	0x300	SymbolicLink	0xf0001	HDAUDIO#FUNC_01&VEN_8384&DEV_7680&SUBSYS_83847680&REV_1034#4&22a99211&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}
4	System	0xe786090820b4	0x304	TpWorkerFactory	0xf003f	
4	System	0xe7860a1fb380	0x308	Directory	0x4	WindowStations
4	System	0xe786090833d4	0x30c	DxgkSharedSwapChainObject	0xf003f	
4	System	0xe786091131e0	0x310	SymbolicLink	0xf0001	HDAUDIO#FUNC_01&VEN_8384&DEV_7680&SUBSYS_83847680&REV_1034#4&22a99211&0&0001#{dda54a40-1e4c-11d1-a050-405705c10000}
4	System	0xe786091134b0	0x314	SymbolicLink	0xf0001	HDAUDIO#FUNC_01&VEN_8384&DEV_7680&SUBSYS_83847680&REV_1034#4&22a99211&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}
4	System	0xe78609083b44	0x318	DmaAdapter	0xf003f	
4	System	0xe786069f32c4	0x328	DxgkDisplayManagerObject	0xf003f	
4	System	0xe78609082934	0x32c	WaitCompletionPacket	0xf003f	
4	System	0xe78609083a34	0x334	PcwObject	0xf003f	
4	System	0xe786090824f4	0x344	TmEn	0xf003f	
4	System	0xe78609082604	0x34c	TmRm	0xf003f	
4	System	0xe786090834e4	0x350	FilterCommunicationPort	0xf003f	
4	System	0xe786069f34e4	0x354	UserApcReserve	0xf003f	
4	System	0xe78609082c64	0x35c	Device	0xf003f	
4	System	0xe786091131e0	0x364	SymbolicLink	0xf0001	HDAUDIO#FUNC_01&VEN_8384&DEV_7680&SUBSYS_83847680&REV_1034#4&22a99211&0&0001#{dda54a40-1e4c-11d1-a050-405705c10000}
4	System	0xe786091134b0	0x368	SymbolicLink	0xf0001	HDAUDIO#FUNC_01&VEN_8384&DEV_7680&SUBSYS_83847680&REV_1034#4&22a99211&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}
4	System	0xe786091131e0	0x36c	SymbolicLink	0xf0001	HDAUDIO#FUNC_01&VEN_8384&DEV_7680&SUBSYS_83847680&REV_1034#4&22a99211&0&0001#{dda54a40-1e4c-11d1-a050-405705c10000}
4	System	0xe786091134b0	0x370	SymbolicLink	0xf0001	HDAUDIO#FUNC_01&VEN_8384&DEV_7680&SUBSYS_83847680&REV_1034#4&22a99211&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}
4	System	0xe78609113420	0x374	SymbolicLink	0xf0001	HDAUDIO#FUNC_01&VEN_8384&DEV_7680&SUBSYS_83847680&REV_1034#4&22a99211&0&0001#{65e8773e-8f56-11d0-a3b9-00a0c9223196}
4	System	0xe78609113c00	0x378	SymbolicLink	0xf0001	HDAUDIO#FUNC_01&VEN_8384&DEV_7680&SUBSYS_83847680&REV_1034#4&22a99211&0&0001#{eb115ffc-10c8-4964-831d-6dcb02e6f23f}
4	System	0xe786091134b0	0x37c	SymbolicLink	0xf0001	HDAUDIO#FUNC_01&VEN_8384&DEV_7680&SUBSYS_83847680&REV_1034#4&22a99211&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}
4	System	0xe78609114080	0x380	SymbolicLink	0xf0001	HDAUDIO#FUNC_01&VEN_8384&DEV_7680&SUBSYS_83847680&REV_1034#4&22a99211&0&0001#{65e8773d-8f56-11d0-a3b9-00a0c9223196}
4	System	0xe78609113c00	0x384	SymbolicLink	0xf0001	HDAUDIO#FUNC_01&VEN_8384&DEV_7680&SUBSYS_83847680&REV_1034#4&22a99211&0&0001#{eb115ffc-10c8-4964-831d-6dcb02e6f23f}
4	System	0x830565c873e0	0x388	Event	0x2	EFSInitEvent
4	System	0xe78609113270	0x38c	SymbolicLink	0xf0001	USB#ROOT_HUB30#4&14c8cfa7&0&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8}
4	System	0xe786091fb600	0x390	Key	0x9	MACHINE\SOFTWARE\MICROSOFT\WINDOWS NT\CURRENTVERSION\IMAGE FILE EXECUTION OPTIONS
4	System	0x8305695670c0	0x394	File	0x100001	\Device\KsecDD
4	System	0x830573f2f140	0x39c	WaitCompletionPacket	0x1	
4	System	0x83056e3e74e0	0x3a0	Event	0x1f0003	
4	System	0x830565cc4314	0x3a4	EtwRegistration	0x12019f	
4	System	0x830565cc58a0	0x3a8	File	0x1	\Device\HarddiskVolume3\$Extend\$RmMetadata\$Txf:$I30:$INDEX_ALLOCATION
4	System	0xe7861bca6a20	0x3ac	Token	0xf01ff	
4	System	0x830565c93080	0x3b4	Process	0x102a	smss.exe Pid 348
4	System	0xe7860911ca50	0x3b8	Section	0x17	
4	System	0x830565cc6140	0x3bc	File	0x12019f	\Device\HarddiskVolume3\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000001
4	System	0x830565cc41a0	0x3c0	File	0x12019f	\Device\HarddiskVolume3\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000002
