Volatility 3 Framework 2.10.0

PID	Process	Value	Privilege	Attributes	Description
92	Registry	17	SeBackupPrivilege		Backup files and directories
92	Registry	18	SeRestorePrivilege		Restore files and directories
92	Registry	19	SeShutdownPrivilege		Shut down the system
92	Registry	20	SeDebugPrivilege		Debug programs
92	Registry	21	SeAuditPrivilege		Generate security audits
92	Registry	22	SeSystemEnvironmentPrivilege		Edit firmware environment values
92	Registry	23	SeChangeNotifyPrivilege	Present,Enabled,Default	Receive notifications of changes to files or directories
92	Registry	24	SeRemoteShutdownPrivilege		Force shutdown from a remote system
92	Registry	25	SeUndockPrivilege		Remove computer from docking station
92	Registry	26	SeSyncAgentPrivilege		Synch directory service data
92	Registry	27	SeEnableDelegationPrivilege		Enable user accounts to be trusted for delegation
92	Registry	28	SeManageVolumePrivilege		Manage the files on a volume
92	Registry	29	SeImpersonatePrivilege		Impersonate a client after authentication
92	Registry	30	SeCreateGlobalPrivilege		Create global objects
92	Registry	31	SeTrustedCredManAccessPrivilege		Access Credential Manager as a trusted caller
92	Registry	32	SeRelabelPrivilege		Modify the mandatory integrity level of an object
92	Registry	33	SeIncreaseWorkingSetPrivilege		Allocate more memory for user applications
92	Registry	34	SeTimeZonePrivilege		Adjust the time zone of the computer's internal clock
92	Registry	35	SeCreateSymbolicLinkPrivilege		Required to create a symbolic link
92	Registry	36	SeDelegateSessionUserImpersonatePrivilege		Obtain an impersonation token for another user in the same session.
348	smss.exe	2	SeCreateTokenPrivilege	Present	Create a token object
348	smss.exe	3	SeAssignPrimaryTokenPrivilege	Present	Replace a process-level token
348	smss.exe	4	SeLockMemoryPrivilege	Present,Enabled,Default	Lock pages in memory
348	smss.exe	5	SeIncreaseQuotaPrivilege	Present	Increase quotas
348	smss.exe	6	SeMachineAccountPrivilege		Add workstations to the domain
348	smss.exe	7	SeTcbPrivilege	Present,Enabled,Default	Act as part of the operating system
348	smss.exe	8	SeSecurityPrivilege	Present	Manage auditing and security log
348	smss.exe	9	SeTakeOwnershipPrivilege	Present	Take ownership of files/objects
348	smss.exe	10	SeLoadDriverPrivilege	Present	Load and unload device drivers
348	smss.exe	11	SeSystemProfilePrivilege	Present,Enabled,Default	Profile system performance
348	smss.exe	12	SeSystemtimePrivilege	Present	Change the system time
348	smss.exe	13	SeProfileSingleProcessPrivilege	Present,Enabled,Default	Profile a single process
348	smss.exe	14	SeIncreaseBasePriorityPrivilege	Present,Enabled,Default	Increase scheduling priority
348	smss.exe	15	SeCreatePagefilePrivilege	Present,Enabled,Default	Create a pagefile
348	smss.exe	16	SeCreatePermanentPrivilege	Present,Enabled,Default	Create permanent shared objects
348	smss.exe	17	SeBackupPrivilege	Present	Backup files and directories
348	smss.exe	18	SeRestorePrivilege	Present	Restore files and directories
348	smss.exe	19	SeShutdownPrivilege	Present	Shut down the system
348	smss.exe	20	SeDebugPrivilege	Present,Enabled,Default	Debug programs
348	smss.exe	21	SeAuditPrivilege	Present,Enabled,Default	Generate security audits
348	smss.exe	22	SeSystemEnvironmentPrivilege	Present	Edit firmware environment values
348	smss.exe	23	SeChangeNotifyPrivilege	Present,Enabled,Default	Receive notifications of changes to files or directories
348	smss.exe	24	SeRemoteShutdownPrivilege		Force shutdown from a remote system
348	smss.exe	25	SeUndockPrivilege	Present	Remove computer from docking station
348	smss.exe	26	SeSyncAgentPrivilege		Synch directory service data
348	smss.exe	27	SeEnableDelegationPrivilege		Enable user accounts to be trusted for delegation
348	smss.exe	28	SeManageVolumePrivilege	Present	Manage the files on a volume
348	smss.exe	29	SeImpersonatePrivilege	Present,Enabled,Default	Impersonate a client after authentication
348	smss.exe	30	SeCreateGlobalPrivilege	Present,Enabled,Default	Create global objects
348	smss.exe	31	SeTrustedCredManAccessPrivilege	Present	Access Credential Manager as a trusted caller
348	smss.exe	32	SeRelabelPrivilege	Present	Modify the mandatory integrity level of an object
348	smss.exe	33	SeIncreaseWorkingSetPrivilege	Present,Enabled,Default	Allocate more memory for user applications
348	smss.exe	34	SeTimeZonePrivilege	Present,Enabled,Default	Adjust the time zone of the computer's internal clock
348	smss.exe	35	SeCreateSymbolicLinkPrivilege	Present,Enabled,Default	Required to create a symbolic link
348	smss.exe	36	SeDelegateSessionUserImpersonatePrivilege	Present,Enabled,Default	Obtain an impersonation token for another user in the same session.
452	csrss.exe	2	SeCreateTokenPrivilege	Present	Create a token object
452	csrss.exe	3	SeAssignPrimaryTokenPrivilege	Present	Replace a process-level token
452	csrss.exe	4	SeLockMemoryPrivilege	Present,Enabled,Default	Lock pages in memory
452	csrss.exe	5	SeIncreaseQuotaPrivilege	Present	Increase quotas
452	csrss.exe	6	SeMachineAccountPrivilege		Add workstations to the domain
452	csrss.exe	7	SeTcbPrivilege	Present,Enabled,Default	Act as part of the operating system
452	csrss.exe	8	SeSecurityPrivilege	Present	Manage auditing and security log
452	csrss.exe	9	SeTakeOwnershipPrivilege	Present	Take ownership of files/objects
452	csrss.exe	10	SeLoadDriverPrivilege	Present	Load and unload device drivers
452	csrss.exe	11	SeSystemProfilePrivilege	Present,Enabled,Default	Profile system performance
452	csrss.exe	12	SeSystemtimePrivilege	Present	Change the system time
452	csrss.exe	13	SeProfileSingleProcessPrivilege	Present,Enabled,Default	Profile a single process
452	csrss.exe	14	SeIncreaseBasePriorityPrivilege	Present,Enabled,Default	Increase scheduling priority
452	csrss.exe	15	SeCreatePagefilePrivilege	Present,Enabled,Default	Create a pagefile
452	csrss.exe	16	SeCreatePermanentPrivilege	Present,Enabled,Default	Create permanent shared objects
452	csrss.exe	17	SeBackupPrivilege	Present	Backup files and directories
452	csrss.exe	18	SeRestorePrivilege	Present	Restore files and directories
452	csrss.exe	19	SeShutdownPrivilege	Present	Shut down the system
452	csrss.exe	20	SeDebugPrivilege	Present,Enabled,Default	Debug programs
452	csrss.exe	21	SeAuditPrivilege	Present,Enabled,Default	Generate security audits
452	csrss.exe	22	SeSystemEnvironmentPrivilege	Present	Edit firmware environment values
452	csrss.exe	23	SeChangeNotifyPrivilege	Present,Enabled,Default	Receive notifications of changes to files or directories
452	csrss.exe	24	SeRemoteShutdownPrivilege		Force shutdown from a remote system
452	csrss.exe	25	SeUndockPrivilege	Present	Remove computer from docking station
452	csrss.exe	26	SeSyncAgentPrivilege		Synch directory service data
452	csrss.exe	27	SeEnableDelegationPrivilege		Enable user accounts to be trusted for delegation
452	csrss.exe	28	SeManageVolumePrivilege	Present	Manage the files on a volume
452	csrss.exe	29	SeImpersonatePrivilege	Present,Enabled,Default	Impersonate a client after authentication
452	csrss.exe	30	SeCreateGlobalPrivilege	Present,Enabled,Default	Create global objects
452	csrss.exe	31	SeTrustedCredManAccessPrivilege		Access Credential Manager as a trusted caller
452	csrss.exe	32	SeRelabelPrivilege	Present	Modify the mandatory integrity level of an object
452	csrss.exe	33	SeIncreaseWorkingSetPrivilege	Present,Enabled,Default	Allocate more memory for user applications
452	csrss.exe	34	SeTimeZonePrivilege	Present,Enabled,Default	Adjust the time zone of the computer's internal clock
452	csrss.exe	35	SeCreateSymbolicLinkPrivilege	Present,Enabled,Default	Required to create a symbolic link
452	csrss.exe	36	SeDelegateSessionUserImpersonatePrivilege	Present,Enabled,Default	Obtain an impersonation token for another user in the same session.
524	wininit.exe	2	SeCreateTokenPrivilege		Create a token object
524	wininit.exe	3	SeAssignPrimaryTokenPrivilege	Present	Replace a process-level token
524	wininit.exe	4	SeLockMemoryPrivilege	Default	Lock pages in memory
524	wininit.exe	5	SeIncreaseQuotaPrivilege	Present	Increase quotas
524	wininit.exe	6	SeMachineAccountPrivilege		Add workstations to the domain
524	wininit.exe	7	SeTcbPrivilege	Present,Enabled,Default	Act as part of the operating system
524	wininit.exe	8	SeSecurityPrivilege	Present	Manage auditing and security log
524	wininit.exe	9	SeTakeOwnershipPrivilege	Present	Take ownership of files/objects
524	wininit.exe	10	SeLoadDriverPrivilege	Present	Load and unload device drivers
524	wininit.exe	11	SeSystemProfilePrivilege	Default	Profile system performance
524	wininit.exe	12	SeSystemtimePrivilege		Change the system time
524	wininit.exe	13	SeProfileSingleProcessPrivilege	Default	Profile a single process
524	wininit.exe	14	SeIncreaseBasePriorityPrivilege	Present,Enabled,Default	Increase scheduling priority
524	wininit.exe	15	SeCreatePagefilePrivilege	Default	Create a pagefile
524	wininit.exe	16	SeCreatePermanentPrivilege	Present,Enabled,Default	Create permanent shared objects
524	wininit.exe	17	SeBackupPrivilege	Present	Backup files and directories
524	wininit.exe	18	SeRestorePrivilege	Present	Restore files and directories
524	wininit.exe	19	SeShutdownPrivilege	Present	Shut down the system
524	wininit.exe	20	SeDebugPrivilege	Present,Enabled,Default	Debug programs
524	wininit.exe	21	SeAuditPrivilege	Present,Enabled,Default	Generate security audits
524	wininit.exe	22	SeSystemEnvironmentPrivilege	Present	Edit firmware environment values
524	wininit.exe	23	SeChangeNotifyPrivilege	Present,Enabled,Default	Receive notifications of changes to files or directories
524	wininit.exe	24	SeRemoteShutdownPrivilege		Force shutdown from a remote system
524	wininit.exe	25	SeUndockPrivilege	Present	Remove computer from docking station
524	wininit.exe	26	SeSyncAgentPrivilege		Synch directory service data
524	wininit.exe	27	SeEnableDelegationPrivilege		Enable user accounts to be trusted for delegation
524	wininit.exe	28	SeManageVolumePrivilege	Present	Manage the files on a volume
524	wininit.exe	29	SeImpersonatePrivilege	Present,Enabled,Default	Impersonate a client after authentication
524	wininit.exe	30	SeCreateGlobalPrivilege	Present,Enabled,Default	Create global objects
524	wininit.exe	31	SeTrustedCredManAccessPrivilege		Access Credential Manager as a trusted caller
524	wininit.exe	32	SeRelabelPrivilege		Modify the mandatory integrity level of an object
524	wininit.exe	33	SeIncreaseWorkingSetPrivilege	Default	Allocate more memory for user applications
524	wininit.exe	34	SeTimeZonePrivilege	Default	Adjust the time zone of the computer's internal clock
524	wininit.exe	35	SeCreateSymbolicLinkPrivilege	Present,Enabled,Default	Required to create a symbolic link
524	wininit.exe	36	SeDelegateSessionUserImpersonatePrivilege	Present,Enabled,Default	Obtain an impersonation token for another user in the same session.
532	csrss.exe	2	SeCreateTokenPrivilege	Present	Create a token object
532	csrss.exe	3	SeAssignPrimaryTokenPrivilege	Present	Replace a process-level token
532	csrss.exe	4	SeLockMemoryPrivilege	Present,Enabled,Default	Lock pages in memory
532	csrss.exe	5	SeIncreaseQuotaPrivilege	Present	Increase quotas
532	csrss.exe	6	SeMachineAccountPrivilege		Add workstations to the domain
532	csrss.exe	7	SeTcbPrivilege	Present,Enabled,Default	Act as part of the operating system
532	csrss.exe	8	SeSecurityPrivilege	Present	Manage auditing and security log
532	csrss.exe	9	SeTakeOwnershipPrivilege	Present	Take ownership of files/objects
532	csrss.exe	10	SeLoadDriverPrivilege	Present	Load and unload device drivers
532	csrss.exe	11	SeSystemProfilePrivilege	Present,Enabled,Default	Profile system performance
532	csrss.exe	12	SeSystemtimePrivilege	Present	Change the system time
532	csrss.exe	13	SeProfileSingleProcessPrivilege	Present,Enabled,Default	Profile a single process
532	csrss.exe	14	SeIncreaseBasePriorityPrivilege	Present,Enabled,Default	Increase scheduling priority
532	csrss.exe	15	SeCreatePagefilePrivilege	Present,Enabled,Default	Create a pagefile
532	csrss.exe	16	SeCreatePermanentPrivilege	Present,Enabled,Default	Create permanent shared objects
532	csrss.exe	17	SeBackupPrivilege	Present	Backup files and directories
532	csrss.exe	18	SeRestorePrivilege	Present	Restore files and directories
532	csrss.exe	19	SeShutdownPrivilege	Present	Shut down the system
532	csrss.exe	20	SeDebugPrivilege	Present,Enabled,Default	Debug programs
532	csrss.exe	21	SeAuditPrivilege	Present,Enabled,Default	Generate security audits
532	csrss.exe	22	SeSystemEnvironmentPrivilege	Present	Edit firmware environment values
532	csrss.exe	23	SeChangeNotifyPrivilege	Present,Enabled,Default	Receive notifications of changes to files or directories
532	csrss.exe	24	SeRemoteShutdownPrivilege		Force shutdown from a remote system
532	csrss.exe	25	SeUndockPrivilege	Present	Remove computer from docking station
532	csrss.exe	26	SeSyncAgentPrivilege		Synch directory service data
532	csrss.exe	27	SeEnableDelegationPrivilege		Enable user accounts to be trusted for delegation
532	csrss.exe	28	SeManageVolumePrivilege	Present	Manage the files on a volume
532	csrss.exe	29	SeImpersonatePrivilege	Present,Enabled,Default	Impersonate a client after authentication
532	csrss.exe	30	SeCreateGlobalPrivilege	Present,Enabled,Default	Create global objects
532	csrss.exe	31	SeTrustedCredManAccessPrivilege		Access Credential Manager as a trusted caller
532	csrss.exe	32	SeRelabelPrivilege	Present	Modify the mandatory integrity level of an object
532	csrss.exe	33	SeIncreaseWorkingSetPrivilege	Present,Enabled,Default	Allocate more memory for user applications
532	csrss.exe	34	SeTimeZonePrivilege	Present,Enabled,Default	Adjust the time zone of the computer's internal clock
532	csrss.exe	35	SeCreateSymbolicLinkPrivilege	Present,Enabled,Default	Required to create a symbolic link
532	csrss.exe	36	SeDelegateSessionUserImpersonatePrivilege	Present,Enabled,Default	Obtain an impersonation token for another user in the same session.
604	winlogon.exe	2	SeCreateTokenPrivilege		Create a token object
604	winlogon.exe	3	SeAssignPrimaryTokenPrivilege	Present	Replace a process-level token
604	winlogon.exe	4	SeLockMemoryPrivilege	Default	Lock pages in memory
604	winlogon.exe	5	SeIncreaseQuotaPrivilege	Present	Increase quotas
604	winlogon.exe	6	SeMachineAccountPrivilege		Add workstations to the domain
604	winlogon.exe	7	SeTcbPrivilege	Present,Enabled,Default	Act as part of the operating system
604	winlogon.exe	8	SeSecurityPrivilege	Present	Manage auditing and security log
604	winlogon.exe	9	SeTakeOwnershipPrivilege	Present	Take ownership of files/objects
604	winlogon.exe	10	SeLoadDriverPrivilege	Present	Load and unload device drivers
604	winlogon.exe	11	SeSystemProfilePrivilege	Default	Profile system performance
604	winlogon.exe	12	SeSystemtimePrivilege		Change the system time
604	winlogon.exe	13	SeProfileSingleProcessPrivilege	Present,Enabled,Default	Profile a single process
604	winlogon.exe	14	SeIncreaseBasePriorityPrivilege	Present,Enabled,Default	Increase scheduling priority
604	winlogon.exe	15	SeCreatePagefilePrivilege	Default	Create a pagefile
604	winlogon.exe	16	SeCreatePermanentPrivilege	Present,Enabled,Default	Create permanent shared objects
604	winlogon.exe	17	SeBackupPrivilege	Present	Backup files and directories
604	winlogon.exe	18	SeRestorePrivilege	Present	Restore files and directories
604	winlogon.exe	19	SeShutdownPrivilege	Present	Shut down the system
604	winlogon.exe	20	SeDebugPrivilege	Present,Enabled,Default	Debug programs
604	winlogon.exe	21	SeAuditPrivilege	Present,Enabled,Default	Generate security audits
604	winlogon.exe	22	SeSystemEnvironmentPrivilege	Present	Edit firmware environment values
604	winlogon.exe	23	SeChangeNotifyPrivilege	Present,Enabled,Default	Receive notifications of changes to files or directories
604	winlogon.exe	24	SeRemoteShutdownPrivilege		Force shutdown from a remote system
604	winlogon.exe	25	SeUndockPrivilege	Present	Remove computer from docking station
604	winlogon.exe	26	SeSyncAgentPrivilege		Synch directory service data
604	winlogon.exe	27	SeEnableDelegationPrivilege		Enable user accounts to be trusted for delegation
604	winlogon.exe	28	SeManageVolumePrivilege	Present	Manage the files on a volume
604	winlogon.exe	29	SeImpersonatePrivilege	Present,Enabled,Default	Impersonate a client after authentication
604	winlogon.exe	30	SeCreateGlobalPrivilege	Present,Enabled,Default	Create global objects
604	winlogon.exe	31	SeTrustedCredManAccessPrivilege	Present	Access Credential Manager as a trusted caller
604	winlogon.exe	32	SeRelabelPrivilege		Modify the mandatory integrity level of an object
604	winlogon.exe	33	SeIncreaseWorkingSetPrivilege	Default	Allocate more memory for user applications
604	winlogon.exe	34	SeTimeZonePrivilege	Default	Adjust the time zone of the computer's internal clock
604	winlogon.exe	35	SeCreateSymbolicLinkPrivilege	Default	Required to create a symbolic link
604	winlogon.exe	36	SeDelegateSessionUserImpersonatePrivilege	Default	Obtain an impersonation token for another user in the same session.
656	services.exe	2	SeCreateTokenPrivilege		Create a token object
656	services.exe	3	SeAssignPrimaryTokenPrivilege	Present	Replace a process-level token
656	services.exe	4	SeLockMemoryPrivilege	Present,Enabled,Default	Lock pages in memory
656	services.exe	5	SeIncreaseQuotaPrivilege	Present	Increase quotas
656	services.exe	6	SeMachineAccountPrivilege		Add workstations to the domain
656	services.exe	7	SeTcbPrivilege	Present,Enabled,Default	Act as part of the operating system
656	services.exe	8	SeSecurityPrivilege	Present	Manage auditing and security log
656	services.exe	9	SeTakeOwnershipPrivilege	Present	Take ownership of files/objects
656	services.exe	10	SeLoadDriverPrivilege	Present	Load and unload device drivers
656	services.exe	11	SeSystemProfilePrivilege	Present,Enabled,Default	Profile system performance
656	services.exe	12	SeSystemtimePrivilege	Present	Change the system time
656	services.exe	13	SeProfileSingleProcessPrivilege	Present,Enabled,Default	Profile a single process
656	services.exe	14	SeIncreaseBasePriorityPrivilege	Present,Enabled,Default	Increase scheduling priority
656	services.exe	15	SeCreatePagefilePrivilege	Present,Enabled,Default	Create a pagefile
656	services.exe	16	SeCreatePermanentPrivilege	Present,Enabled,Default	Create permanent shared objects
656	services.exe	17	SeBackupPrivilege	Present	Backup files and directories
656	services.exe	18	SeRestorePrivilege	Present	Restore files and directories
656	services.exe	19	SeShutdownPrivilege	Present	Shut down the system
656	services.exe	20	SeDebugPrivilege	Present,Enabled,Default	Debug programs
656	services.exe	21	SeAuditPrivilege	Present,Enabled,Default	Generate security audits
656	services.exe	22	SeSystemEnvironmentPrivilege	Present	Edit firmware environment values
656	services.exe	23	SeChangeNotifyPrivilege	Present,Enabled,Default	Receive notifications of changes to files or directories
656	services.exe	24	SeRemoteShutdownPrivilege		Force shutdown from a remote system
656	services.exe	25	SeUndockPrivilege	Present	Remove computer from docking station
656	services.exe	26	SeSyncAgentPrivilege		Synch directory service data
656	services.exe	27	SeEnableDelegationPrivilege		Enable user accounts to be trusted for delegation
656	services.exe	28	SeManageVolumePrivilege	Present	Manage the files on a volume
656	services.exe	29	SeImpersonatePrivilege	Present,Enabled,Default	Impersonate a client after authentication
656	services.exe	30	SeCreateGlobalPrivilege	Present,Enabled,Default	Create global objects
656	services.exe	31	SeTrustedCredManAccessPrivilege		Access Credential Manager as a trusted caller
656	services.exe	32	SeRelabelPrivilege		Modify the mandatory integrity level of an object
656	services.exe	33	SeIncreaseWorkingSetPrivilege	Present,Enabled,Default	Allocate more memory for user applications
656	services.exe	34	SeTimeZonePrivilege	Present,Enabled,Default	Adjust the time zone of the computer's internal clock
656	services.exe	35	SeCreateSymbolicLinkPrivilege	Present,Enabled,Default	Required to create a symbolic link
656	services.exe	36	SeDelegateSessionUserImpersonatePrivilege	Present,Enabled,Default	Obtain an impersonation token for another user in the same session.
664	lsass.exe	2	SeCreateTokenPrivilege	Present,Enabled	Create a token object
664	lsass.exe	3	SeAssignPrimaryTokenPrivilege	Present	Replace a process-level token
664	lsass.exe	4	SeLockMemoryPrivilege	Present,Enabled,Default	Lock pages in memory
664	lsass.exe	5	SeIncreaseQuotaPrivilege	Present	Increase quotas
664	lsass.exe	6	SeMachineAccountPrivilege		Add workstations to the domain
664	lsass.exe	7	SeTcbPrivilege	Present,Enabled,Default	Act as part of the operating system
664	lsass.exe	8	SeSecurityPrivilege	Present	Manage auditing and security log
664	lsass.exe	9	SeTakeOwnershipPrivilege	Present	Take ownership of files/objects
664	lsass.exe	10	SeLoadDriverPrivilege	Present	Load and unload device drivers
664	lsass.exe	11	SeSystemProfilePrivilege	Present,Enabled,Default	Profile system performance
664	lsass.exe	12	SeSystemtimePrivilege	Present	Change the system time
664	lsass.exe	13	SeProfileSingleProcessPrivilege	Present,Enabled,Default	Profile a single process
664	lsass.exe	14	SeIncreaseBasePriorityPrivilege	Present,Enabled,Default	Increase scheduling priority
664	lsass.exe	15	SeCreatePagefilePrivilege	Present,Enabled,Default	Create a pagefile
664	lsass.exe	16	SeCreatePermanentPrivilege	Present,Enabled,Default	Create permanent shared objects
664	lsass.exe	17	SeBackupPrivilege	Present	Backup files and directories
664	lsass.exe	18	SeRestorePrivilege	Present	Restore files and directories
664	lsass.exe	19	SeShutdownPrivilege	Present	Shut down the system
664	lsass.exe	20	SeDebugPrivilege	Present,Enabled,Default	Debug programs
664	lsass.exe	21	SeAuditPrivilege	Present,Enabled,Default	Generate security audits
664	lsass.exe	22	SeSystemEnvironmentPrivilege	Present	Edit firmware environment values
664	lsass.exe	23	SeChangeNotifyPrivilege	Present,Enabled,Default	Receive notifications of changes to files or directories
664	lsass.exe	24	SeRemoteShutdownPrivilege		Force shutdown from a remote system
664	lsass.exe	25	SeUndockPrivilege	Present	Remove computer from docking station
664	lsass.exe	26	SeSyncAgentPrivilege		Synch directory service data
664	lsass.exe	27	SeEnableDelegationPrivilege		Enable user accounts to be trusted for delegation
664	lsass.exe	28	SeManageVolumePrivilege	Present	Manage the files on a volume
664	lsass.exe	29	SeImpersonatePrivilege	Present,Enabled,Default	Impersonate a client after authentication
664	lsass.exe	30	SeCreateGlobalPrivilege	Present,Enabled,Default	Create global objects
664	lsass.exe	31	SeTrustedCredManAccessPrivilege	Present	Access Credential Manager as a trusted caller
664	lsass.exe	32	SeRelabelPrivilege	Present	Modify the mandatory integrity level of an object
664	lsass.exe	33	SeIncreaseWorkingSetPrivilege	Present,Enabled,Default	Allocate more memory for user applications
664	lsass.exe	34	SeTimeZonePrivilege	Present,Enabled,Default	Adjust the time zone of the computer's internal clock
664	lsass.exe	35	SeCreateSymbolicLinkPrivilege	Present,Enabled,Default	Required to create a symbolic link
664	lsass.exe	36	SeDelegateSessionUserImpersonatePrivilege	Present,Enabled,Default	Obtain an impersonation token for another user in the same session.
776	svchost.exe	2	SeCreateTokenPrivilege		Create a token object
776	svchost.exe	3	SeAssignPrimaryTokenPrivilege	Present	Replace a process-level token
776	svchost.exe	4	SeLockMemoryPrivilege	Present,Enabled,Default	Lock pages in memory
776	svchost.exe	5	SeIncreaseQuotaPrivilege	Present	Increase quotas
776	svchost.exe	6	SeMachineAccountPrivilege		Add workstations to the domain
776	svchost.exe	7	SeTcbPrivilege	Present,Enabled,Default	Act as part of the operating system
776	svchost.exe	8	SeSecurityPrivilege	Present	Manage auditing and security log
776	svchost.exe	9	SeTakeOwnershipPrivilege	Present	Take ownership of files/objects
776	svchost.exe	10	SeLoadDriverPrivilege	Present	Load and unload device drivers
776	svchost.exe	11	SeSystemProfilePrivilege	Present,Enabled,Default	Profile system performance
776	svchost.exe	12	SeSystemtimePrivilege	Present	Change the system time
776	svchost.exe	13	SeProfileSingleProcessPrivilege	Present,Enabled,Default	Profile a single process
776	svchost.exe	14	SeIncreaseBasePriorityPrivilege	Present,Enabled,Default	Increase scheduling priority
776	svchost.exe	15	SeCreatePagefilePrivilege	Present,Enabled,Default	Create a pagefile
776	svchost.exe	16	SeCreatePermanentPrivilege	Present,Enabled,Default	Create permanent shared objects
776	svchost.exe	17	SeBackupPrivilege	Present	Backup files and directories
776	svchost.exe	18	SeRestorePrivilege	Present	Restore files and directories
776	svchost.exe	19	SeShutdownPrivilege	Present	Shut down the system
776	svchost.exe	20	SeDebugPrivilege	Present,Enabled,Default	Debug programs
776	svchost.exe	21	SeAuditPrivilege	Present,Enabled,Default	Generate security audits
776	svchost.exe	22	SeSystemEnvironmentPrivilege	Present	Edit firmware environment values
776	svchost.exe	23	SeChangeNotifyPrivilege	Present,Enabled,Default	Receive notifications of changes to files or directories
776	svchost.exe	24	SeRemoteShutdownPrivilege		Force shutdown from a remote system
776	svchost.exe	25	SeUndockPrivilege	Present	Remove computer from docking station
776	svchost.exe	26	SeSyncAgentPrivilege		Synch directory service data
776	svchost.exe	27	SeEnableDelegationPrivilege		Enable user accounts to be trusted for delegation
776	svchost.exe	28	SeManageVolumePrivilege	Present	Manage the files on a volume
776	svchost.exe	29	SeImpersonatePrivilege	Present,Enabled,Default	Impersonate a client after authentication
776	svchost.exe	30	SeCreateGlobalPrivilege	Present,Enabled,Default	Create global objects
776	svchost.exe	31	SeTrustedCredManAccessPrivilege		Access Credential Manager as a trusted caller
776	svchost.exe	32	SeRelabelPrivilege		Modify the mandatory integrity level of an object
776	svchost.exe	33	SeIncreaseWorkingSetPrivilege	Present,Enabled,Default	Allocate more memory for user applications
